mi_rel_type,const_name,module,app_class
1001,BrregUnitsConst,Business,BrregUnitsApp
1002,CompaniesConst,Customer,CompaniesApp
1003,CustomerRelCompaniesConst,Customer,CustomerRelCompaniesApp
1004,SnoAccountConst,Business,SnoAccountApp
1005,MasterIdLookUpConst,Customer,MasterIdLookUpApp
1006,SentOffersConst,Customer,SentOffersApp
1008,SnoAccountMemberConst,Business,SnoAccountMemberApp
1009,SnoBusinessUnitConst,Business,SnoBusinessUnitApp
1010,SnoUserConst,Business,SnoUserApp
1011,BrregCompanyConst,Business,BrregCompanyApp
1012,CustomerSettingsConst,Customer,CustomerSettingsApp
1013,CustomerSettingsRelConst,Customer,CustomerSettingsRelApp
1014,UserDataRequestsConst,,
1015,UserTypeConst,Customer,UserTypeApp
1016,OfferSendRelConst,Customer,OfferSendRelApp
1017,SystemStatusConst,Customer,SystemStatusApp
1018,SystemUserStatusConst,Customer,SystemUserStatusApp
1019,CompanyMetasConst,Customer,CompanyMetasApp
1020,BusinessCreditScoreConst,Business,BusinessCreditScoreApp
1021,BusinessAddressesConst,Business,BusinessAddressesApp
1022,BusinessDataConst,Business,BusinessDataApp
1023,BusinessDataRegisterRelConst,Business,BusinessDataRegisterRelApp
1024,BusinessLegalCategoriesConst,Business,BusinessLegalCategoriesApp
1025,BusinessRegisterConst,Business,BusinessRegisterApp
1026,BusinessMetaConst,Business,BusinessMetaApp
1027,CustomerHomepageConst,Customer,CustomerHomepageApp
1028,CustomerHomepageRelConst,Customer,CustomerHomepageRelApp
1029,CustomerRelationConst,Customer,CustomerRelationApp
1030,CustomerHealthRelConst,Customer,CustomerHealthRelApp
1031,BusinessCreditReportProviderConst,Business,BusinessCreditReportProviderApp
1032,BusinessCreditReportConfigConst,Business,BusinessCreditReportConfigApp
1033,BusinessCreditReportConst,Business,BusinessCreditReportApp
1034,CustomerUserCompanySettingConst,Customer,CustomerUserCompanySettingApp
1035,CustomerUserCompanySettingUnitRelationConst,Customer,CustomerUserCompanySettingUnitRelationApp
1036,CustomerUserCompanySettingRelationConst,Customer,CustomerUserCompanySettingRelationApp
1037,CalendarAgentConst,Customer,CalendarAgentApp
1038,BusinessContactConst,Business,BusinessContactApp
1039,BusinessContactRelationConst,Business,BusinessContactRelationApp
1040,EhfRegistryConst,Business,EhfRegistryApp
1041,BusinessMetaScoreConst,Business,BusinessMetaScoreApp
1101,GroupsConst,User,GroupsApp
1102,GroupUserRelConst,User,GroupUserRelApp
1103,UserSettingsConst,User,UserSettingsApp
1104,UserSettingsRelConst,User,UserSettingsRelApp
1151,BrregCompanyMetaConst,Business,BrregCompanyMetaApp
1201,TenderConst,Tenders,TenderApp
1202,BizRelConst,Tenders,BizRelApp
1203,WorktypeConst,Tenders,WorktypeApp
1204,TenderAgreementConst,Tenders,TenderAgreementApp
1205,ElasticTenderQueueConst,Tenders,ElasticTenderQueueApp
1206,TLogConst,Tenders,TLogApp
1207,WorktypeTenderRelConst,Tenders,WorktypeTenderRelApp
1208,WorktypeIndustryRelConst,Tenders,WorktypeIndustryRelApp
1209,TenderDataConst,Tenders,TenderDataApp
1210,BizCountiesConst,Tenders,BizCountiesApp
1211,BizDistrictsConst,Tenders,BizDistrictsApp
1212,BizMunicipalitiesConst,Tenders,BizMunicipalitiesApp
1213,BizPlacesConst,Tenders,BizPlacesApp
1214,BizRelMailConst,Tenders,BizRelMailApp
1215,ModelBuilConst,Tenders,ModelBuilApp
1218,TDataConst,Tenders,TDataApp
1219,TenderContractConst,Tenders,TenderContractApp
1220,TenderDataConstantsConst,Tenders,TenderDataConstantsApp
1221,TenderInsuranceConst,Tenders,TenderInsuranceApp
1222,TenderOrderExceptionConst,Tenders,TenderOrderExceptionApp
1223,TenderPlusConst,Tenders,TenderPlusApp
1224,TenderReportConst,Tenders,TenderReportApp
1225,TenderVerisureConst,Tenders,TenderVerisureApp
1226,TIndustryConst,Tenders,TIndustryApp
1227,WorktypeBizRelConst,Tenders,WorktypeBizRelApp
1228,WorktypeSubsetConst,Tenders,WorktypeSubsetApp
1229,WorktypeSubsetBizRelConst,Tenders,WorktypeSubsetBizRelApp
1230,WorktypeSubsetGroupConst,Tenders,WorktypeSubsetGroupApp
1231,WorktypeSubsetGroupRelConst,Tenders,WorktypeSubsetGroupRelApp
1232,WorktypeSubsetTenderRelConst,Tenders,WorktypeSubsetTenderRelApp
1233,BizRelMetaConst,Tenders,BizRelMetaApp
1234,TenderCalloutConst,Tenders,TenderCalloutApp
1235,IndustryBizRelConst,Tenders,IndustryBizRelApp
1236,BizRelStatusConst,Tenders,BizRelStatusApp
1237,TenderInternalStatusConst,Tenders,TenderInternalStatusApp
1238,TIndustryCategoryConst,Tenders,TIndustryCategoryApp
1239,IndustryCategoryRelConst,Tenders,IndustryCategoryRelApp
1240,CompanyDailyEmailConst,Tenders,CompanyDailyEmailApp
1241,CompanyDailyEmailTenderRelConst,Tenders,CompanyDailyEmailTenderRelApp
1242,CompanyDailyEmailTendersConst,Tenders,CompanyDailyEmailTendersApp
1243,JobPriceCalculatorConst,Tenders,JobPriceCalculatorApp
1244,BizRelNoteConst,Tenders,BizRelNoteApp
1245,CompanyTenderActivityDailyConst,Tenders,CompanyTenderActivityDailyApp
1301,AffiliationGroupConst,User,AffiliationGroupApp
1302,AffiliationRelConst,User,AffiliationRelApp
1401,AnalyticsConst,User,AnalyticsApp
1402,CampaignConst,User,CampaignApp
1403,InitializeLogConst,User,InitializeLogApp
1404,LineItemConst,User,LineItemApp
1420,PublishersAppConst,User,PublishersApp
1421,SegmentAppConst,User,SegmentApp
1422,SegmentsMapAppConst,User,SegmentsMapApp
1423,DealsAppConst,User,DealsApp
1424,DealsMapAppconst,User,DealsMapApp
1430,CreativeSizeAppConst,User,CreativeSizesApp
1431,CreativeSizeRelAppConst,User,CreativeSizesRelApp
1434,OverrideLinksAppConst,User,OverrideLinksApp
1501,ConsentActivitiesConst,User,ConsentActivitiesApp
1502,ConsentCategoriesConst,User,ConsentCategoriesApp
1503,ConsentRelationsConst,User,ConsentRelationsApp
1504,TermsAndConditionsConst,User,TermsAndConditionsApp
1505,TACAcceptanceConst,User,TACAcceptanceApp
1506,OptoutEmailConst,User,OptoutEmailApp
1507,OptoutPhoneConst,User,OptoutPhoneApp
1508,TermsAndConditionsVersionsAppConst,User,TermsAndConditionsVersionsApp
1509,TermsAndConditionsConnectionAppConst,User,TermsAndConditionsRelApp
1601,CategoryConst,User,CategoryApp
1602,CommentConst,User,CommentApp
1603,DocConst,User,DocApp
1604,DocsCategoryRelConst,User,DocsCategoryRelApp
1605,DocsTagsRelConst,User,DocsTagsRelApp
1606,DocsUserRelConst,User,DocsUserRelApp
1607,DocsTagConst,User,DocsTagApp
1701,EmailConst,User,EmailApp
1702,EmailTemplateConst,User,EmailTemplateApp
1703,EmailProviderTemplateRelConst,User,EmailProviderTemplateRelApp
1704,EmailSettingsConst,User,EmailSettingsApp
1705,EmailStoplistConst,User,EmailStoplistApp
1706,EmailVarsTemplateConst,User,EmailVarsTemplateApp
1707,EmailStoreIndexingDetailsConst,User,EmailStoreIndexingDetailsApp
1708,SailthruUsersConst,User,SailthruUsersApp
1801,NotificationsConst,User,NotificationsApp
1802,ReceiverRelConst,User,ReceiverRelApp
1803,NotificationReceiversConst,User,NotificationReceiversApp
1804,NotificationPushTokenConst,User,NotificationPushTokensApp
1805,NotificationGroupsConst,User,NotificationGroupsApp
1806,NotificationDestinationsConst,User,NotificationDestinationsApp
1807,NotificationDataDefinitionsRelConst,User,NotificationDataDefinitionsRelApp
1808,NotificationDataDefinitionsConst,User,NotificationDataDefinitionsApp
1809,NotificationTypesConst,User,NotificationTypesApp
1810,NotificationSettingsConst,User,NotificationSettingsApp
1811,NotificationPushBatchConst,User,NotificationPushBatchApp
1812,NotificationPushBatchReceiversConst,User,NotificationPushBatchReceiversApp
1901,SMSConst,User,SMSApp
1902,MMSConst,User,MMSApp
1903,SmsTemplatesConst,User,SmsTemplatesApp
1904,SmsTemplateContentsConst,User,SmsTemplateContentsApp
1905,SMSSettingConst,User,SMSSettingApp
1906,SmsOptoutPhone,User,SmsOptoutPhoneApp
2002,InvoiceConst,Econ,InvoiceApp
2003,InvoiceLineConst,Econ,InvoiceLineApp
